,keyword,count,lable,lable2,lable3,lable4
379,스,94,5,5,6,1
380,쪽지,94,5,5,6,1
381,새마을,93,5,5,6,1
382,배팅내역,93,5,5,6,1
383,로그아웃,93,5,5,6,1
384,야구,93,5,5,6,1
385,뱅크오브아메리카,93,5,5,6,1
386,기타,93,5,5,6,1
387,주택,93,5,5,6,1
388,해외,92,5,5,6,1
389,중국,92,5,5,6,1
390,5%,92,5,5,6,1
391,함,92,5,5,6,1
392,배,92,5,5,6,1
393,드림,91,5,5,6,1
394,명의,91,5,5,6,1
395,자세히,91,5,5,6,1
396,계정,91,5,5,6,1
397,스페셜,90,5,5,6,1
398,호,90,5,5,6,1
399,신용,90,5,5,6,1
400,IBK,89,5,5,6,1
401,가이드,89,5,5,6,1
402,블랙잭,89,5,5,6,1
403,fit,89,5,5,6,1
404,o,88,5,5,6,1
405,도메인,88,5,5,6,1
406,I,88,5,5,6,1
407,타이거,87,5,5,6,1
408,가능한,87,5,5,6,1
409,OF,87,5,5,6,1
410,피,86,5,5,6,1
411,T,86,5,5,6,1
412,NOTICE,86,5,5,6,1
413,NEW,86,5,5,6,1
414,GO,86,5,5,6,1
415,in,86,5,5,6,1
416,제,86,5,5,6,1
417,스피드,86,5,5,6,1
418,8월,86,5,5,6,1
419,shrink,86,5,5,6,1
420,점,85,5,5,6,1
421,거래,85,5,5,6,1
422,대한민국,85,5,5,6,1
423,미,85,5,5,6,1
424,축협,85,5,5,6,1
425,e,85,5,5,6,1
426,중,84,5,5,6,1
427,회사,84,5,5,6,1
428,일,84,5,5,6,1
429,해당,84,5,5,6,1
430,월,84,5,5,6,1
431,BETTING,84,5,5,6,1
432,새로운,83,5,5,6,1
433,발생,83,5,5,6,1
434,배구,83,5,5,6,1
435,JP,83,5,5,6,1
436,온라인,82,5,5,6,1
437,상하이,82,5,5,6,1
438,키노,82,5,5,6,1
439,리그,82,5,5,6,1
440,기준,82,5,5,6,1
441,버전,81,5,5,6,1
442,그래프,81,5,5,6,1
443,OG,81,5,5,6,1
444,주간,81,5,5,6,1
445,드래곤,81,5,5,6,1
446,한번,80,5,5,6,1
447,RESERVED,80,5,5,6,1
448,User,80,5,5,6,1
449,HMC,79,5,5,6,1
450,"50,000",79,5,5,6,1
451,업데이트,79,5,5,6,1
452,정확한,79,5,5,6,1
453,is,79,5,5,6,1
454,연락,79,5,5,6,1
455,부,79,5,5,6,1
456,SA,79,5,5,6,1
457,카,78,5,5,6,1
458,개인정보,78,5,5,6,1
459,rights,77,5,5,6,1
460,크로스,77,5,5,6,1
461,적용,77,5,5,6,1
462,친구,77,5,5,6,1
463,아래,77,5,5,6,1
464,비보,76,5,5,6,1
465,환,76,5,5,6,1
466,평화,76,5,5,6,1
467,종합,76,5,5,6,1
468,RT,76,5,5,6,1
469,내,76,5,5,6,1
470,입,76,5,5,6,1
471,"200,000",76,5,5,6,1
472,다음,76,5,5,6,1
473,첫,75,5,5,6,1
474,LIG,75,5,5,6,1
475,문제,75,5,5,6,1
476,엘,75,5,5,6,1
477,com,75,5,5,6,1
478,TM,75,5,5,6,1
479,by,75,5,5,6,1
480,상,75,5,5,6,1
481,website,75,5,5,6,1
482,지원,75,5,5,6,1
483,유럽,74,5,5,6,1
484,아메리카,74,5,5,6,1
485,인,74,5,5,6,1
486,본사,74,5,5,6,1
487,달팽이,74,5,5,6,1
488,다른,74,5,5,6,1
489,저희,74,5,5,6,1
490,암호,74,5,5,6,1
491,FC,73,5,5,6,1
492,서버,73,5,5,6,1
493,MAX,73,5,5,6,1
494,항상,73,5,5,6,1
495,하바네로,73,5,5,6,1
496,프로모션,73,5,5,6,1
497,타이산,73,5,5,6,1
498,미국,73,5,5,6,1
499,우,72,5,5,6,1
500,png,72,5,5,6,1
501,P,72,5,5,6,1
502,Play,72,5,5,6,1
503,3%,72,5,5,6,1
504,개인,72,5,5,6,1
505,액,72,5,5,6,1
506,V,72,5,5,6,1
507,"5,000",71,5,5,6,1
508,"300,000",71,5,5,6,1
509,참여,71,5,5,6,1
510,검색,71,5,5,6,1
511,식보,70,5,5,6,1
512,체험,70,5,5,6,1
513,아시안,70,5,5,6,1
514,올벳,70,5,5,6,1
515,없는,70,5,5,6,1
516,BNP,70,5,5,6,1
517,테니스,70,5,5,6,1
518,바로,70,5,5,6,1
519,오만,70,5,5,6,1
520,Games,69,5,5,6,1
521,"1,000,000",69,5,5,6,1
522,피해,69,5,5,6,1
523,DB,69,5,5,6,1
524,NOW,69,5,5,6,1
525,"30,000",69,5,5,6,1
526,섹시,69,5,5,6,1
527,세,69,5,5,6,1
528,작성,68,5,5,6,1
529,매주,68,5,5,6,1
530,bet,68,5,5,6,1
531,100만원,68,5,5,6,1
532,프로,68,5,5,6,1
533,MINI,68,5,5,6,1
534,상금,68,5,5,6,1
535,테크,68,5,5,6,1
536,2021-04,68,5,5,6,1
537,TAISHAN,67,5,5,6,1
538,개,67,5,5,6,1
539,Login,67,5,5,6,1
540,신용협동조합,67,5,5,6,1
541,Sports,67,5,5,6,1
542,은,67,5,5,6,1
543,관리자,67,5,5,6,1
544,브라우저,67,5,5,6,1
545,반드시,67,5,5,6,1
546,시스템,67,5,5,6,1
547,GMT,67,5,5,6,1
548,d,67,5,5,6,1
549,주말,67,5,5,6,1
550,미식축구,66,5,5,6,1
551,제한,66,5,5,6,1
552,토너먼트,66,5,5,6,1
553,Service,66,5,5,6,1
554,책임,66,5,5,6,1
555,image,65,5,5,6,1
556,제외,65,5,5,6,1
557,필독,65,5,5,6,1
558,등급,65,5,5,6,1
559,그리스,65,5,5,6,1
560,4~16,65,5,5,6,1
561,The,65,5,5,6,1
562,전화,64,5,5,6,1
563,League,64,5,5,6,1
564,아닌,64,5,5,6,1
565,없으면,64,5,5,6,1
566,멀티,64,5,5,6,1
567,루징,64,5,5,6,1
568,커뮤니티,64,5,5,6,1
569,L,64,5,5,6,1
570,20%,64,5,5,6,1
571,COPYRIGHT,64,5,5,6,1
572,핸디캡,64,5,5,6,1
573,IN,63,5,5,6,1
574,Asia,63,5,5,6,1
575,레벨,63,5,5,6,1
576,MLB,63,5,5,6,1
577,독일,63,5,5,6,1
578,target,63,5,5,6,1
579,w,62,5,5,6,1
580,10분,62,5,5,6,1
581,스코어,62,5,5,6,1
582,잔액,62,5,5,6,1
583,Help,62,5,5,6,1
584,player,62,5,5,6,1
585,YouTube,62,5,5,6,1
586,THE,62,5,5,6,1
587,사칭,62,5,5,6,1
588,자세한,62,5,5,6,1
589,팀,62,5,5,6,1
590,css,62,5,5,6,1
591,스페인,62,5,5,6,1
592,차,62,5,5,6,1
593,무,62,5,5,6,1
594,모두,62,5,5,6,1
595,Merit,62,5,5,6,1
596,참고,61,5,5,6,1
597,함께,61,5,5,6,1
598,코인,61,5,5,6,1
599,뒤,61,5,5,6,1
600,트레이드,61,5,5,6,1
601,이내,61,5,5,6,1
602,이집트,61,5,5,6,1
603,핀란드,61,5,5,6,1
604,소프트,61,5,5,6,1
605,스위스,61,5,5,6,1
606,2021년,61,5,5,6,1
607,글자,61,5,5,6,1
608,마,60,5,5,6,1
609,수출입은행,60,5,5,6,1
610,종료,60,5,5,6,1
611,가능하며,60,5,5,6,1
612,금고,60,5,5,6,1
613,장,60,5,5,6,1
614,메시지,60,5,5,6,1
615,you,60,5,5,6,1
616,프리,60,5,5,6,1
617,POWER,60,5,5,6,1
618,프라그,60,5,5,6,1
619,FX,60,5,5,6,1
620,무료,60,5,5,6,1
621,WIN,60,5,5,6,1
622,하키,60,5,5,6,1
623,스웨덴,60,5,5,6,1
624,핸드볼,59,5,5,6,1
625,VS,59,5,5,6,1
626,영상,59,5,5,6,1
627,에스케이,59,5,5,6,1
628,your,59,5,5,6,1
629,의,58,5,5,6,1
630,Corp,58,5,5,6,1
631,부탁드립니다,58,5,5,6,1
632,전달,58,5,5,6,1
633,브라질,58,5,5,6,1
634,우크라이나,58,5,5,6,1
635,dpi,58,5,5,6,1
636,파라과이,58,5,5,6,1
637,레이스,58,5,5,6,1
638,임,58,5,5,6,1
639,보상,58,5,5,6,1
640,팝업,57,5,5,6,1
641,아일랜드,57,5,5,6,1
642,video,57,5,5,6,1
643,크로아티아,57,5,5,6,1
644,에이치,57,5,5,6,1
645,카드,57,5,5,6,1
646,LEAGUE,57,5,5,6,1
647,불이익,57,5,5,6,1
648,아이,57,5,5,6,1
649,densitydpi,57,5,5,6,1
650,기존,57,5,5,6,1
651,것,57,5,5,6,1
652,on,57,5,5,6,1
653,딜러,57,5,5,6,1
654,페루,56,5,5,6,1
655,yes,56,5,5,6,1
656,Tocplus,56,5,5,6,1
657,요르단,56,5,5,6,1
658,VISA,56,5,5,6,1
659,CQ,56,5,5,6,1
660,베네수엘라,56,5,5,6,1
661,javascript,56,5,5,6,1
662,기재,56,5,5,6,1
663,북,56,5,5,6,1
664,공화국,56,5,5,6,1
665,아이슬란드,56,5,5,6,1
666,logo,56,5,5,6,1
667,아르메니아,56,5,5,6,1
668,싱가포르,56,5,5,6,1
669,슬로바키아,56,5,5,6,1
670,홈,56,5,5,6,1
671,시티,55,5,6,6,4
672,동의,55,5,6,6,4
673,오픈,55,5,6,6,4
674,건,55,5,6,6,4
675,강화,55,5,6,6,4
676,메뉴,55,5,6,6,4
677,루마니아,55,5,6,6,4
678,폴란드,55,5,6,6,4
679,콜롬비아,55,5,6,6,4
680,상단,55,5,6,6,4
681,멕시코,55,5,6,6,4
682,NBA,55,5,6,6,4
683,기간,55,5,6,6,4
684,에스토니아,55,5,6,6,4
685,Bet,55,5,6,6,4
686,단계,55,5,6,6,4
687,아이엠,55,5,6,6,4
688,체코,55,5,6,6,4
689,close,55,5,6,6,4
690,명예,55,5,6,6,4
691,오스트리아,55,5,6,6,4
692,앤,54,5,6,2,4
693,슬로베니아,54,5,6,2,4
694,덴마크,54,5,6,2,4
695,벨기에,54,5,6,2,4
696,사우디아라비아,54,5,6,2,4
697,세르비아,54,5,6,2,4
698,볼리비아,54,5,6,2,4
699,터키,54,5,6,2,4
700,GOLD,54,5,6,2,4
701,축하,54,5,6,2,4
702,포르투갈,54,5,6,2,4
703,일본,54,5,6,2,4
704,에콰도르,54,5,6,2,4
705,저장,54,5,6,2,4
706,각,54,5,6,2,4
707,엠씨,54,5,6,2,4
708,SBI,54,5,6,2,4
709,GD,53,5,6,2,4
710,터,53,5,6,2,4
711,있으며,53,5,6,2,4
712,진,53,5,6,2,4
713,TO,53,5,6,2,4
714,금지,53,5,6,2,4
715,불가리아,53,5,6,2,4
716,7월,53,5,6,2,4
717,네덜란드,53,5,6,2,4
718,t,52,5,6,2,4
719,can,52,5,6,2,4
720,VIP,52,5,6,2,4
721,동안,52,5,6,2,4
722,제도,52,5,6,2,4
723,that,52,5,6,2,4
724,ORIENTAL,52,5,6,2,4
725,아리,52,5,6,2,4
726,here,52,5,6,2,4
727,런칭,52,5,6,2,4
728,업체,52,5,6,2,4
729,입장,52,5,6,2,4
730,아르헨티나,52,5,6,2,4
731,not,52,5,6,2,4
732,피나,52,5,6,2,4
733,솔로몬,52,5,6,2,4
734,차단,52,5,6,2,4
735,많은,52,5,6,2,4
736,올인,52,5,6,2,4
737,호주,51,5,6,2,4
738,세계,51,5,6,2,4
739,KBO,51,5,6,2,4
740,"400,000",51,5,6,2,4
741,예금,51,5,6,2,4
742,분,51,5,6,2,4
743,소문자,51,5,6,2,4
744,U,51,5,6,2,4
745,스타,51,5,6,2,4
746,icon,51,5,6,2,4
747,USER,51,5,6,2,4
748,f,51,5,6,2,4
749,크리켓,51,5,6,2,4
750,일반,51,5,6,2,4
751,우루과이,51,5,6,2,4
752,구매,50,5,6,2,4
753,Right,50,5,6,2,4
754,직접,50,5,6,2,4
755,VIRTUAL,50,5,6,2,4
756,정상,50,5,6,2,4
757,9월,50,5,6,2,4
758,트리플,50,5,6,2,4
759,해,50,5,6,2,4
760,로만,50,5,6,2,4
761,평일,50,5,6,2,4
762,주가,50,5,6,2,4
763,킹,50,5,6,2,4
764,DREAMGAMING,50,5,6,2,4
765,발급,50,5,6,2,4
766,5만,50,5,6,2,4
767,공백,50,5,6,2,4
768,08월,50,5,6,2,4
769,테이블,50,5,6,2,4
770,러시아,49,5,6,2,4
771,4~12,49,5,6,2,4
772,RIGHT,49,5,6,2,4
773,안,49,5,6,2,4
774,"5,000,000",49,5,6,2,4
775,as,49,5,6,2,4
776,레드,49,5,6,2,4
777,이란,49,5,6,2,4
778,n,49,5,6,2,4
779,대기,49,5,6,2,4
780,Online,49,5,6,2,4
781,여기,49,5,6,2,4
782,안녕하세요,49,5,6,2,4
783,b,49,5,6,2,4
784,RED,49,5,6,2,4
785,나,48,5,6,2,4
786,홀덤,48,5,6,2,4
787,보호,48,5,6,2,4
788,OK,48,5,6,2,4
789,로고,48,5,6,2,4
790,ie,48,5,6,2,4
791,우즈베키스탄,48,5,6,2,4
792,Close,48,5,6,2,4
793,FREE,48,5,6,2,4
794,항목,48,5,6,2,4
795,BEST,48,5,6,2,4
796,도,48,5,6,2,4
797,언제,48,5,6,2,4
798,피지,48,5,6,2,4
799,RIGHTS,48,5,6,2,4
800,목,48,5,6,2,4
801,버튼,48,5,6,2,4
802,EDGE,48,5,6,2,4
803,이미지,48,5,6,2,4
804,재해,48,5,6,2,4
805,로투,48,5,6,2,4
806,호텔,48,5,6,2,4
807,CODE,48,5,6,2,4
808,존,47,5,6,2,4
809,play,47,5,6,2,4
810,LOGO,47,5,6,2,4
811,Korea,47,5,6,2,4
812,ISOFTBET,47,5,6,2,4
813,Previous,47,5,6,2,4
814,최근,47,5,6,2,4
815,this,47,5,6,2,4
816,우측,47,5,6,2,4
817,프랑스,47,5,6,2,4
818,주,47,5,6,2,4
819,이지투,47,5,6,2,4
820,준비,47,5,6,2,4
821,정식,47,5,6,2,4
822,양방,47,5,6,2,4
823,이전,47,5,6,2,4
824,단위,47,5,6,2,4
825,아이스,46,5,6,2,4
826,WM,46,5,6,2,4
827,TV,46,5,6,2,4
828,Member,46,5,6,2,4
829,그,46,5,6,2,4
830,실명,46,5,6,2,4
831,결제,46,5,6,2,4
832,MEMBER,46,5,6,2,4
833,선,46,5,6,2,4
834,Click,46,5,6,2,4
835,스토크,46,5,6,2,4
836,컵,46,5,6,2,4
837,토,46,5,6,2,4
838,콤프,46,5,6,2,4
839,답변,46,5,6,2,4
840,회원정보,46,5,6,2,4
841,로투스,46,5,6,2,4
842,VIVO,45,5,6,2,4
843,몰디브,45,5,6,2,4
844,꼭,45,5,6,2,4
845,50만원,45,5,6,2,4
846,for,45,5,6,2,4
847,탑,45,5,6,2,4
848,랜드,45,5,6,2,4
849,통화,45,5,6,2,4
850,II,45,5,6,2,4
851,BIG,45,5,6,2,4
852,순위,45,5,6,2,4
853,Please,45,5,6,2,4
854,분실,44,5,6,2,4
855,리,44,5,6,2,4
856,최초,44,5,6,2,4
857,먹튀,44,5,6,2,4
858,승인,44,5,6,2,4
859,ONLINE,44,5,6,2,4
860,영국,44,5,6,2,4
861,절차,44,5,6,2,4
862,최,44,5,6,2,4
863,이하,44,5,6,2,4
864,JavaScript,44,5,6,2,4
865,송금,44,5,6,2,4
866,노력,44,5,6,2,4
867,more,44,5,6,2,4
868,돈,44,5,6,2,4
869,"10,000",44,5,6,2,4
870,폴더,44,5,6,2,4
871,BALL,44,5,6,2,4
872,지역,44,5,6,2,4
873,말레이시아,44,5,6,2,4
874,프리미어,44,5,6,2,4
875,중요,44,5,6,2,4
876,슬롯머신,44,5,6,2,4
877,플러스,44,5,6,2,4
878,노르웨이,44,5,6,2,4
879,협동,44,5,6,2,4
880,버,43,0,6,2,4
881,img,43,0,6,2,4
882,08-19,43,0,6,2,4
883,높은,43,0,6,2,4
884,프로그램,43,0,6,2,4
885,놀이터,43,0,6,2,4
886,Premier,43,0,6,2,4
887,당일,43,0,6,2,4
888,1등,43,0,6,2,4
889,기술,43,0,6,2,4
890,UEFA,43,0,6,2,4
891,summary,43,0,6,2,4
892,번만,43,0,6,2,4
893,only,43,0,6,2,4
894,헝가리,42,0,6,2,4
895,경마,42,0,6,2,4
896,CITY,42,0,6,2,4
897,y,42,0,6,2,4
898,"2,000,000",42,0,6,2,4
